No,Location,No Spaces,Exact Location,Tariff,Hours of Operation,Clr-Way,X_Value,Y_Value,Zone
899,Dodderview Cottages,28 P&D,Opposite No. 37,€2.70,Mon-Fri  08.00-18.30,FALSE,317935,232577,Red
901,Kilmainham Lane,43 P&D,At Royal Oak,€1.60,Mon-Sat  07.00-24.00,FALSE,313026,233699,Green
902,Harold's Cross Cottages,11 P&D,Opposite No. 16,€2.70,Mon-Fri  07.00-19.00,FALSE,314989.74,232331.49,Red
903,Park Drive,83 spaces,,€1.60,Mon-Fri  07.00-19.00,FALSE,316590,231031,Green
904,Ashdale Road,25 spaces,Ashdale Road,€1.00,Mon-Fri  07.00-19.00,FALSE,314320,230679,Orange
905,Ring Terrace,36 P&D / DP,,€1.00,Mon-Sat 07.00-19.00,FALSE,311514,233022,Orange
906,Reuben Avenue,72 P/D,,€1.60,Mon-Fri  07.00-19.00,FALSE,313808,233032,Green
907,Wilfield Park,47 P&D,Opposite Foxfield House,€1.00,Mon-Fri 07.00-19.00,FALSE,318708,232345,Orange
908,Casimir Road,74 P&D,At No. 59,€1.60,Mon-Sun 07.00-24.00,FALSE,314480,231510,Green
909,Charleston Avenue,41 P&D,At Trinity House,€2.70,Mon-Fri 07.00-19.00,FALSE,316075,231752,Red
911,Claude Road,46 P&D/DP,At side of house no. 49A,€1.60,Mon-Sun 07.00-24.00,FALSE,315501,236183,Green
912,Merton Ave,38 P&D,Opp. No. 4,€1.60,Mon-Sat 07.00-24.00,FALSE,314514,232772,Green
913,Thomas Davis St. West,42 P&D,At No. 28,€1.00,Mon-Sat 07.00-24.00,FALSE,312011,233309,Orange
914,Camac Court,13 P&D,At junction Inchicore Road,€1.00,Mon-Fri 07.00-19.00,FALSE,312237,233699,Orange
915,St. Columba's Road Lower,53 P/D,Opposite No. 18,€1.60,Mon-Fri 07.00-19.00,FALSE,315666,236210,Green
916,Wellington Street Upper,16 P&D / PP,,€3.20,Mon-Fri 07.00-19.00,FALSE,315220.62,235384.48,Yellow
917,Wilfrid Road,36 P&D/PP,Outside No. 1,€1.60,Mon-Sun 07.00-24.00,FALSE,314591,231307,Green
918,Villiers Road,55 P&D,Opposite No.25,€1.00,Mon-Sun 07.00-24.00,FALSE,315632,230650,Orange
919,St. Annes Road,62 P&D,Junction St Patricks Road,€1.60,Mon-Sun 07.00-24.00,FALSE,315830,236162,Green
920,Ashfield Park,31 P&D / P P,Junction Mount Tallant Avenue,€1.00,Mon-Sat 07.00-24.00,FALSE,314469,230836,Orange
921,Iona Road,156 P&D,Junction Hollybank Road,€1.60,Mon-Sun 07.00-24.00,FALSE,315822,236648,Green
922,Hollybank Road,156 P&D,At No. 57,€1.60,Mon-Sun 07.00-24.00,FALSE,315933,236639,Green
925,Avondale Avenue,38 P&D / PP,Opposite No. 24,€2.70,Mon-Fri 07.00-19.00,FALSE,314809,235761,Red
927,Synnot Row,29 P&D/DP,Opp. No. 24,€1.60,Mon-Sun 07.00-24.00,FALSE,315734,235909,Green
928,Sherrard Avenue,24 P&D,Opposite No. 19,€1.60,Mon-Fri 07.00-19.00,FALSE,316015,235828,Green
931,Carlisle Avenue,30 P&D,At No. 1,€2.70,Mon-Sat 07.00-19.00,FALSE,317006,231791,Red
932,Daniel Street,53 P&D,Opposite No. 5,€2.70,Mon-Fri 07.00-19.00,FALSE,315076,232999,Red
933,Sandford Avenue,49 P&D / PP,No 21,€1.60,Mon-Sun 07.00-24.00,FALSE,314474,232812,Green
934,Shangan Ave,10 P&D,,€1.00,Mon-Sat 07.00-24.00,FALSE,316042,239547,Orange
935,Hollybank Avenue,87 P&D,Junct. Sandford Avenue,€1.60,Mon-Sun 07.00-24.00,FALSE,316953,231477,Green
