latitude,longitude,altitude,geometry,Meter_Number,Identifier,Location,Area_Ref,Number_of_Paid_Parking_Spaces_,Hours_of_operation,Days_of_operation,Hourly_Tarrif,Restrictions
53.288922907066514,-6.12762636681356,0,Point,23,,Martello Avenue,Glasthule,10,0800 - 1900,Monday to Friday,1,
53.28871927124584,-6.1241906157272314,0,Point,477,,Newtownsmith,Glasthule,13,0800 - 1900,Monday to Saturday,1.5,
53.28819321161584,-6.127955461522685,0,Point,75,,Rosmeen Park,Glasthule,14,0800 - 1900,Monday to Friday,1,
53.28721084455152,-6.123896514277693,0,Point,65,,Summerhill Road,Glasthule,4,0800 - 1900,Monday to Saturday,1,
53.28659895908886,-6.120527956141473,0,Point,67,,Wilmount Avenue,Glasthule,4,0800 - 1900,Monday to Friday,1,
53.28983945089855,-6.125641184142648,0,Point,315,,Windsor Terrace Car Park,Glasthule,46,0800 - 1900,Monday to Friday,1.2,
53.29020509685836,-6.126245501955965,0,Point,316,,Windsor Terrace Car Park,Glasthule,39,0800 - 1900,Monday to Friday,1.2,
53.28571525288804,-6.118788385316229,0,Point,70,,Albert Road,Sandycove,22,0800 - 1900,Monday to Friday,1,
53.28644671811732,-6.119146417239501,0,Point,69,,Burdett Avenue,Sandycove,20,0800 - 1900,Monday to Friday,1,
53.28680854208563,-6.119934341224362,0,Point,486,,Marine Avenue,Sandycove,15,0800 - 1900,Monday to Friday,1,
53.29521389316085,-6.140487324897509,0,Point,447,,George's Place,Dún Laoghaire,17,0800 - 1900,Monday to Saturday,1.5,
53.28700409656475,-6.122449375022167,0,Point,480,,Glasthule Road (56),Glasthule,16,0800 - 1900,Monday to Saturday,1.5,
53.279594841147606,-6.123552437143237,0,Point,495,M495,Marlbrough Road,Glenageary,30,0800 - 1900,Monday to Friday,1,
